Provider_ID,Name,Type,Address,City,Contact
1,Annapurna Restaurant,Catering Service,115 MG Road,Hyderabad,9362950628
2,Fresh Mart,Grocery Store,143 MG Road,Jaipur,9193349856
3,City Supermarket,Bakery,433 MG Road,Mumbai,9200604502
4,Grand Hotel,Grocery Store,239 Station Road,Surat,9128492780
5,Sweet Bakery,Bakery,204 Station Road,Kolkata,9336696312
6,Tasty Bites,Hotel,604 Park Avenue,Mumbai,9914763202
7,Green Grocers,Grocery Store,715 Gandhi Nagar,Pune,9398362082
8,Metro Store,Grocery Store,221 Park Avenue,Delhi,9199585092
9,Royal Kitchen,Hotel,100 Park Avenue,Pune,9748245888
10,Spice Garden,Supermarket,827 MG Road,Ahmedabad,9675770529
11,Food Junction,Restaurant,997 Gandhi Nagar,Delhi,9692749116
12,Big Bazaar,Supermarket,850 Station Road,Pune,9719927151
13,Heritage Hotel,Grocery Store,722 MG Road,Mumbai,9810026086
14,Mom's Kitchen,Grocery Store,792 Park Avenue,Delhi,9349957310
15,Urban Deli,Restaurant,390 Park Avenue,Ahmedabad,9782560971
16,Sunrise Bakery,Supermarket,167 Park Avenue,Pune,9324956459
17,Paradise Restaurant,Catering Service,274 MG Road,Surat,9781802744
18,Daily Fresh,Grocery Store,547 Main Street,Bangalore,9596348124
19,The Food Hub,Hotel,277 Station Road,Chennai,9835098955
20,Nourish Store,Supermarket,864 MG Road,Chennai,9982403818
21,Annapurna Restaurant 21,Restaurant,825 Park Avenue,Kolkata,9387484583
22,Fresh Mart 22,Restaurant,217 Station Road,Pune,9328306011
23,City Supermarket 23,Catering Service,512 Gandhi Nagar,Ahmedabad,9253407200
24,Grand Hotel 24,Supermarket,143 Main Street,Jaipur,9678722458
25,Sweet Bakery 25,Supermarket,765 Station Road,Kolkata,9726563708
26,Tasty Bites 26,Hotel,371 Main Street,Bangalore,9647099690
27,Green Grocers 27,Hotel,94 MG Road,Delhi,9264112119
28,Metro Store 28,Catering Service,164 Gandhi Nagar,Surat,9168212356
29,Royal Kitchen 29,Hotel,391 Station Road,Ahmedabad,9668132202
30,Spice Garden 30,Supermarket,995 Station Road,Mumbai,9830448745
31,Food Junction 31,Catering Service,118 Station Road,Hyderabad,9925276600
32,Big Bazaar 32,Catering Service,349 MG Road,Hyderabad,9566825638
33,Heritage Hotel 33,Grocery Store,465 MG Road,Hyderabad,9637500247
34,Mom's Kitchen 34,Grocery Store,520 MG Road,Hyderabad,9786066793
35,Urban Deli 35,Bakery,624 Main Street,Bangalore,9501486939
36,Sunrise Bakery 36,Grocery Store,553 Station Road,Mumbai,9743111853
37,Paradise Restaurant 37,Supermarket,501 MG Road,Delhi,9489747629
38,Daily Fresh 38,Supermarket,246 MG Road,Chennai,9709194872
39,The Food Hub 39,Restaurant,88 Gandhi Nagar,Delhi,9916690353
40,Nourish Store 40,Bakery,785 Main Street,Bangalore,9808402051
41,Annapurna Restaurant 41,Hotel,970 Station Road,Bangalore,9384602384
42,Fresh Mart 42,Bakery,894 Station Road,Kolkata,9327416584
43,City Supermarket 43,Bakery,774 Main Street,Hyderabad,9528414718
44,Grand Hotel 44,Catering Service,666 Park Avenue,Ahmedabad,9655742829
45,Sweet Bakery 45,Hotel,124 Main Street,Chennai,9168747287
46,Tasty Bites 46,Supermarket,22 Station Road,Jaipur,9347083812
47,Green Grocers 47,Bakery,226 MG Road,Delhi,9860038427
48,Metro Store 48,Catering Service,61 Main Street,Delhi,9133729406
49,Royal Kitchen 49,Supermarket,73 Station Road,Chennai,9399012686
50,Spice Garden 50,Catering Service,498 Main Street,Jaipur,9242068763
